,Total Profit,Total Wages,Total Surplus Value,Wage Share,Unemployment Rate,Price Index,Total Tax Revenue,Total Unmet Needs,Average Financial Stress,Total Worker Wealth,Average Exploitation Rate,Total Worker Debt,Average Debt per Worker,Workers in Debt,Debt to Income Ratio,Bankrupt Workers,Total Debt Payments
87,91275.26423606632,341958.6555507014,246063.14642637662,0.5815407768911797,0.5486666666666666,1.032799326322957,157606.58515791927,22946757.790181812,0.6348666666666667,10115739.208885806,0.3715594990479043,9315682.981748678,6210.455321165785,1004,0.09934453724799203,870,187134.819031732
88,89586.54718475323,341765.76136700937,245507.4472816769,0.5819536058071016,0.5486666666666666,1.0335278586072998,157193.26514593954,23314947.797111392,0.633945633588855,10241520.44976021,0.37110850407839635,9320756.289063744,6213.837526042496,1005,0.09881043473804133,875,187202.0796186607
89,90087.34541430527,342612.75728968676,245957.5547847281,0.5821101578877615,0.5486666666666666,1.0333572099957133,157493.21282801178,23704266.96080144,0.6355333333333333,10367278.345040096,0.37114466295942655,9325277.127429307,6216.8514182862045,1003,0.09896228924306032,875,187332.29601253467
90,91590.73038798786,342052.0219399116,245833.50433147806,0.58183439913778,0.5486666666666666,1.0334518358566076,158328.65313450948,24007635.74799755,0.6339156240191565,10493254.685067806,0.37130852607151116,9330414.298229126,6220.276198819418,1002,0.10013721803465253,873,187390.58752126308
91,91315.0560978394,342327.309389844,245819.72294588783,0.5820437587355425,0.5486666666666666,1.0333225511150754,158580.74911375178,24395289.769603834,0.6364,10619378.259003904,0.37115420639577323,9335064.85327262,6223.376568848414,1002,0.09970415393743047,875,187479.81650416035
92,83733.12267335788,342168.7762326989,245657.2072393793,0.582091955533558,0.5486666666666666,1.033571177429435,157817.8798859211,24780042.32782501,0.6373333333333333,10745746.157663373,0.37102824303433796,9339342.072248174,6226.228048165449,1003,0.1000298268810623,877,187581.29167063595
93,88665.3215307021,342413.9429968781,245895.91528752752,0.5820299255147711,0.5486666666666666,1.032993458831558,158526.1135824195,25114811.37605153,0.6376666666666667,10872348.138576671,0.3711769678061469,9343625.041596662,6229.083361064441,1003,0.10006155878689324,878,187700.0525443785
94,82396.03106286761,342021.99646247,245791.04678321508,0.5818550649607087,0.5486666666666666,1.0332571786887796,157765.15148984233,25395790.06516298,0.636860194524629,10998408.930272723,0.3713217189868264,9348016.82953805,6232.011219692033,1001,0.10106179825161109,875,187791.93560397808
95,85790.64289580833,341090.3619591222,245258.65879291375,0.581718993103542,0.55,1.032636013178303,158560.7457086717,25843212.70142485,0.6398,11125058.83304732,0.3715741827326676,9352135.024509858,6234.7566830065725,1000,0.10002407907340531,881,187845.28070457382
96,80249.06548161848,340544.1822457963,245070.67947136157,0.5815156077959535,0.5506666666666666,1.0337904428791964,157702.81199775668,26158923.235178247,0.6388666666666666,11251384.287164284,0.3716492671716051,9356093.642346976,6237.3957615646505,998,0.09989013286150936,880,187913.1127967235
97,81172.19873941192,342351.9723914879,245835.17474721227,0.5820459934510572,0.5486666666666666,1.0331718192921562,158994.2599721962,26491662.528156377,0.6402,11376819.024569722,0.3712114918761004,9359732.68351835,6239.821789012233,998,0.09957419098579226,881,187961.92144742896
